Shipment,Induct Station,Destination
FK1001,1,D
FK1002,1,K
FK1003,1,P
FK1004,1,K
FK1005,1,J
FK1006,1,D
FK1007,1,B
FK1008,1,A
FK1009,1,H
FK1010,1,H
FK1011,1,C
FK1012,1,C
FK1013,1,J
FK1014,1,J
FK1015,1,D
FK1016,1,C
FK1017,1,M
FK1018,1,P
FK1019,1,P
FK1020,1,A
FK1021,1,M
FK1022,1,B
FK1023,1,P
FK1024,1,B
FK1025,1,B
FK1026,1,J
FK1027,1,J
FK1028,1,P
FK1029,1,P
FK1030,1,K
FK1031,1,H
FK1032,1,A
FK1033,1,P
FK1034,1,C
FK1035,1,A
FK1036,1,K
FK1037,1,K
FK1038,1,P
FK1039,1,J
FK1040,1,B
FK1041,1,M
FK1042,1,J
FK1043,1,D
FK1044,1,K
FK1045,1,C
FK1046,1,K
FK1047,1,J
FK1048,1,K
FK1049,1,A
FK1050,1,M
FK1051,1,A
FK1052,1,K
FK1053,1,H
FK1054,1,M
FK1055,1,D
FK1056,1,H
FK1057,1,J
FK1058,1,B
FK1059,1,J
FK1060,1,D
FK1061,1,D
FK1062,1,H
FK1063,1,A
FK1064,1,J
FK1065,1,C
FK1066,1,C
FK1067,1,M
FK1068,1,J
FK1069,1,A
FK1070,1,M
FK1071,1,B
FK1072,1,M
FK1073,1,H
FK1074,1,B
FK1075,1,C
FK1076,1,P
FK1077,1,B
FK1078,1,K
FK1079,1,H
FK1080,1,P
FK1081,1,J
FK1082,1,H
FK1083,1,H
FK1084,1,B
FK1085,1,M
FK1086,1,J
FK1087,1,M
FK1088,1,P
FK1089,1,C
FK1090,1,A
FK1091,1,J
FK1092,1,B
FK1093,1,C
FK1094,1,J
FK1095,1,C
FK1096,1,D
FK1097,1,P
FK1098,1,J
FK1099,1,D
FK1100,1,D
